
Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 0.00 PING: 0.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 0.00 PING: 0.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 98 IR: 1314.00 PING: 28.00 cm
Angle: 100 IR: 1329.67 PING: 26.33 cm
Angle: 102 IR: 1331.00 PING: 26.00 cm
Angle: 104 IR: 1181.67 PING: 25.33 cm
Angle: 106 IR: 1215.33 PING: 25.00 cm
Angle: 108 IR: 1275.67 PING: 27.33 cm
Angle: 110 IR: 1286.67 PING: 27.67 cm
Angle: 112 IR: 1254.67 PING: 29.33 cm
Angle: 114 IR: 1132.33 PING: 27.67 cm
Angle: 116 IR: 893.67 PING: 33.67 cm
Angle: 118 IR: 658.33 PING: 29.33 cm
Angle: 120 IR: 523.67 PING: 29.00 cm
Angle: 122 IR: 515.00 PING: 28.33 cm
Angle: 124 IR: 901.00 PING: 32.33 cm
Angle: 126 IR: 1109.00 PING: 27.67 cm
Angle: 128 IR: 1219.67 PING: 28.33 cm
Angle: 130 IR: 1087.67 PING: 29.33 cm
Angle: 132 IR: 736.67 PING: 27.33 cm
Angle: 134 IR: 716.33 PING: 28.00 cm
Angle: 136 IR: 673.00 PING: 28.00 cm
Angle: 138 IR: 637.67 PING: 29.33 cm
Angle: 140 IR: 647.67 PING: 30.00 cm
Angle: 142 IR: 645.67 PING: 31.00 cm
Angle: 144 IR: 672.67 PING: 36.33 cm
Angle: 146 IR: 656.00 PING: 28.67 cm
Angle: 148 IR: 650.67 PING: 31.33 cm
Angle: 150 IR: 689.67 PING: 28.67 cm
Angle: 152 IR: 824.67 PING: 28.67 cm
Angle: 154 IR: 607.00 PING: 27.67 cm
Angle: 156 IR: 550.33 PING: 32.33 cm
Angle: 158 IR: 517.00 PING: 50.33 cm
Angle: 160 IR: 659.33 PING: 85.33 cm
Angle: 162 IR: 1046.33 PING: 49.00 cm
Angle: 164 IR: 1071.67 PING: 40.00 cm
Angle: 166 IR: 1088.00 PING: 50.33 cm
Angle: 168 IR: 1123.67 PING: 38.00 cm
Angle: 170 IR: 1142.00 PING: 81.33 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 726.00 PING: 154.67 cm
Angle: 2 IR: 689.67 PING: 30.33 cm
Angle: 4 IR: 626.33 PING: 58.33 cm
Angle: 6 IR: 701.00 PING: 51.33 cm
Angle: 8 IR: 637.67 PING: 35.00 cm
Angle: 10 IR: 662.67 PING: 72.67 cm
Angle: 12 IR: 623.00 PING: 64.33 cm
Angle: 14 IR: 590.33 PING: 63.33 cm
Angle: 16 IR: 664.67 PING: 114.67 cm
Angle: 18 IR: 658.33 PING: 81.67 cm
Angle: 20 IR: 1134.67 PING: 134.33 cm
Angle: 22 IR: 1063.00 PING: 163.33 cm
Angle: 24 IR: 987.33 PING: 143.33 cm
Angle: 26 IR: 937.67 PING: 168.67 cm
Angle: 28 IR: 949.00 PING: 151.67 cm
Angle: 30 IR: 841.00 PING: 85.33 cm
Angle: 32 IR: 825.67 PING: 81.33 cm
Angle: 34 IR: 716.67 PING: 93.00 cm
Angle: 36 IR: 687.33 PING: 52.33 cm
Angle: 38 IR: 620.33 PING: 72.00 cm
Angle: 40 IR: 610.33 PING: 79.33 cm
Angle: 42 IR: 625.00 PING: 49.00 cm
Angle: 44 IR: 639.67 PING: 96.67 cm
Angle: 46 IR: 645.67 PING: 73.00 cm
Angle: 48 IR: 641.00 PING: 64.33 cm
Angle: 50 IR: 654.00 PING: 120.33 cm
Angle: 52 IR: 643.00 PING: 131.00 cm
Angle: 54 IR: 665.33 PING: 95.33 cm
Angle: 56 IR: 660.33 PING: 120.67 cm
Angle: 58 IR: 654.00 PING: 159.67 cm
Angle: 60 IR: 675.00 PING: 149.33 cm
Angle: 62 IR: 660.33 PING: 158.00 cm
Angle: 64 IR: 759.67 PING: 138.67 cm
Angle: 66 IR: 647.00 PING: 142.67 cm
Angle: 68 IR: 863.00 PING: 118.00 cm
Angle: 70 IR: 684.00 PING: 150.00 cm
Angle: 72 IR: 689.67 PING: 102.67 cm
Angle: 74 IR: 783.00 PING: 129.33 cm
Angle: 76 IR: 859.33 PING: 187.33 cm
Angle: 78 IR: 816.33 PING: 120.00 cm
Angle: 80 IR: 783.33 PING: 116.00 cm
Angle: 82 IR: 768.00 PING: 149.00 cm
Angle: 84 IR: 643.67 PING: 175.67 cm
Angle: 86 IR: 586.00 PING: 153.33 cm
Angle: 88 IR: 584.00 PING: 192.00 cm
Angle: 90 IR: 584.33 PING: 132.00 cm
Angle: 92 IR: 621.67 PING: 112.67 cm
Angle: 94 IR: 585.67 PING: 120.00 cm
Angle: 96 IR: 681.00 PING: 143.00 cm
Angle: 98 IR: 679.00 PING: 82.67 cm
Angle: 100 IR: 682.33 PING: 84.67 cm
Angle: 102 IR: 684.67 PING: 141.00 cm
Angle: 104 IR: 682.33 PING: 112.00 cm
Angle: 106 IR: 688.33 PING: 107.33 cm
Angle: 108 IR: 697.00 PING: 90.33 cm
Angle: 110 IR: 724.00 PING: 82.00 cm
Angle: 112 IR: 1052.33 PING: 70.00 cm
Angle: 114 IR: 883.00 PING: 70.67 cm
Angle: 116 IR: 1037.67 PING: 49.00 cm
Angle: 118 IR: 1081.67 PING: 114.33 cm
Angle: 120 IR: 1397.67 PING: 17.33 cm
Angle: 122 IR: 1043.67 PING: 12.67 cm
Angle: 124 IR: 1015.33 PING: 28.00 cm
Angle: 126 IR: 1151.00 PING: 46.67 cm
Angle: 128 IR: 915.00 PING: 64.33 cm
Angle: 130 IR: 888.67 PING: 70.33 cm
Angle: 132 IR: 918.33 PING: 26.33 cm
Angle: 134 IR: 876.33 PING: 45.67 cm
Angle: 136 IR: 882.33 PING: 26.67 cm
Angle: 138 IR: 815.00 PING: 32.67 cm
Angle: 140 IR: 859.00 PING: 28.00 cm
Angle: 142 IR: 815.00 PING: 52.67 cm
Angle: 144 IR: 792.33 PING: 29.33 cm
